	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
Tbc1d1	871	1669	522	1214	2598	1974	517	1190	2106	2305	1094	1964
Tbc1d10a	179	504	183	447	611	662	200	499	480	737	402	807
Tbc1d10b	623	1929	717	1568	1867	2679	814	1986	1512	2904	1604	2722
Tbc1d10c	19	14	18	6	36	14	19	16	44	28	48	25
Tbc1d12	100	118	180	177	170	116	169	157	157	131	301	203
Tbc1d13	1590	1507	2007	1530	4335	1927	2024	1763	3044	2169	4240	2411
Tbc1d14	542	1239	571	1522	1736	1509	573	1703	1248	1722	1114	2386
Tbc1d15	1738	1456	1239	1744	3162	1726	1198	1772	2480	2015	2690	2724
Tbc1d16	281	1165	517	1088	1316	1485	611	1106	1022	1807	1265	2103
Tbc1d17	636	370	474	602	915	419	575	677	786	532	1013	947
Tbc1d19	145	313	149	307	469	309	142	311	388	364	328	477
Tbc1d2	178	122	128	102	463	160	156	126	392	142	309	133
Tbc1d20	311	576	253	555	841	652	260	573	650	717	548	818
Tbc1d21	4	0	1	1	6	2	1	0	7	3	4	2
Tbc1d22a	277	304	167	284	563	319	170	309	529	384	317	386
Tbc1d22b	239	537	256	544	900	724	270	629	609	851	565	924
Tbc1d22bos	21	28	11	28	20	13	10	16	20	16	22	32
Tbc1d23	468	698	406	701	994	800	431	702	799	961	807	1047
Tbc1d24	601	842	372	816	1087	1009	478	882	861	1162	1027	1365
Tbc1d25	136	609	117	483	395	798	116	565	340	909	261	762
Tbc1d2b	162	608	167	411	525	710	182	475	388	746	371	695
Tbc1d30	7	18	7	27	8	21	3	32	8	19	9	43
Tbc1d31	560	551	431	561	1252	692	413	666	1006	711	869	965
Tbc1d32	164	361	163	187	404	401	157	214	342	425	376	397
Tbc1d4	142	271	43	200	330	343	43	216	243	366	113	384
Tbc1d5	220	400	161	278	480	487	168	265	364	571	337	456
Tbc1d7	90	111	93	82	442	140	98	126	397	166	202	155
Tbc1d8	116	490	199	374	308	548	134	361	252	565	398	475
Tbc1d8b	37	157	48	111	123	203	33	86	106	199	97	118
Tbc1d9	173	649	188	689	507	750	178	660	432	801	315	878
Tbc1d9b	207	625	197	752	524	745	280	807	418	879	554	1283
Tbca	279	887	273	709	1501	1159	298	725	1202	1346	681	1380
Tbcb	241	537	188	362	1646	748	246	356	1332	932	526	655
Tbcc	154	539	163	637	497	851	193	816	339	1102	343	1324
Tbccd1	247	501	248	475	739	684	295	579	540	785	550	800
Tbcd	698	1949	717	1321	2228	2562	718	1493	1861	2712	1485	2190
Tbce	280	397	230	417	1041	467	233	458	804	539	521	653
Tbcel	626	1004	424	1327	1081	1223	475	1344	904	1450	1010	1926
Tbck	301	680	356	921	849	756	379	1033	714	791	639	1540
Tbk1	570	951	501	960	1515	1107	520	972	1186	1216	1149	1390
Tbkbp1	151	231	101	224	370	310	152	229	284	359	241	406
Tbl1x	721	1545	757	1154	2369	1934	762	1198	2232	2309	1804	1855
Tbl1xr1	2010	3141	1637	2865	4249	3506	1545	2715	3973	3750	3177	4146
Tbl2	821	1086	536	1249	1501	1407	579	1324	1273	1525	1165	2092
Tbl3	358	1098	529	989	3212	1636	623	1098	2515	1790	1135	1779
Tbp	345	683	362	660	1658	779	365	669	1339	927	791	1085
Tbpl1	358	968	325	944	1436	1150	311	928	1017	1315	739	1531
Tbpl2	0	0	0	0	0	0	0	0	0	0	0	0
Tbr1	1	4	2	1	8	4	1	3	6	5	6	3
Tbrg1	784	1519	703	900	3656	2003	762	897	2705	2557	1586	1467
Tbrg3	580	2043	1016	1508	2258	1779	700	1346	1976	1797	1619	1716
Tbrg4	1093	2743	933	2014	5811	3504	1062	2343	4437	3927	2158	3365
Tbx1	1	4	0	9	4	7	0	3	2	6	1	6
Tbx10	0	2	0	3	0	0	0	0	1	1	0	2
Tbx15	3	16	3	8	14	22	2	6	7	25	4	13
Tbx18	3	25	0	9	5	25	1	8	3	33	1	27
Tbx19	1	1	2	2	6	0	0	0	8	0	4	1
Tbx2	2	21	4	19	14	34	12	18	13	34	26	37
Tbx20	91	136	67	26	128	129	46	30	128	154	134	33
Tbx21	3	10	1	2	13	9	0	0	9	5	3	1
Tbx22	0	0	0	1	1	12	0	0	0	4	0	1
Tbx3	2964	583	1782	62	3948	707	1861	73	4035	834	4286	63
Tbx3os2	16	1	9	0	26	0	8	1	18	2	13	0
Tbx4	3	69	3	30	18	117	2	19	19	111	12	34
Tbx5	0	0	0	0	3	2	0	0	2	0	0	0
Tbx6	10	15	12	21	35	11	8	22	30	13	21	22
Tbxa2r	3	25	6	35	18	38	4	38	17	39	13	44
Tbxas1	0	7	1	2	4	5	0	1	2	4	3	0
Tc2n	6	88	9	29	43	88	5	29	28	82	21	50
Tcaf1	19	223	36	186	96	233	45	207	75	287	73	332
Tcaf2	29	88	27	12	123	79	24	9	81	87	58	38
Tcaf3	0	2	0	0	0	0	0	0	1	0	0	0
Tcaim	74	169	71	151	271	189	71	148	214	217	153	243
Tcam1	5	20	4	9	27	12	7	21	27	14	23	32
Tcap	1	2	0	0	4	1	3	2	1	2	2	3
Tcea1	3122	5649	2825	3522	15048	6639	2798	3577	10981	8052	6194	5960
Tcea2	32	104	52	123	118	130	46	149	98	148	92	239
Tcea3	186	420	392	1349	1201	663	498	1598	994	730	1276	2515
Tceal1	21	25	9	10	54	19	16	20	55	22	28	32
Tceal3	1	1	6	5	12	6	4	2	5	2	7	5
Tceal5	7	5	10	5	29	11	21	9	12	10	42	18
Tceal6	3	0	0	0	3	2	0	0	2	0	4	0
Tceal7	20	22	14	16	36	18	19	13	16	24	31	28
Tceal8	390	1330	357	978	2600	1602	344	998	1872	1866	751	1780
Tceanc	79	135	76	66	252	209	73	77	185	193	181	136
Tceanc2	114	178	93	136	415	202	109	143	312	223	205	252
Tceb1	447	2168	530	702	3510	2636	504	628	2575	3166	1127	1259
Tceb2	489	1199	459	977	3105	1601	525	998	2371	2038	1275	1705
Tceb3	355	1280	504	1087	1708	1612	520	1106	1265	1747	928	1636
Tcerg1	2602	5779	2946	5097	11492	6824	3026	5553	10009	8144	7215	9351
Tcerg1l	24	89	44	75	143	73	35	63	101	86	73	104
Tcf12	670	1830	1018	2407	1924	2314	1067	2579	1673	2505	2298	3950
Tcf15	364	270	871	1458	3174	536	1375	1633	2234	592	1921	2768
Tcf19	104	141	152	120	561	182	147	118	436	225	261	192
Tcf20	2495	7091	2947	6632	8911	7804	2633	6661	7822	8191	5843	9682
Tcf21	1	0	2	0	0	0	0	0	0	0	0	0
Tcf23	14	3	0	0	19	0	0	1	19	4	1	1
Tcf24	15	115	23	92	55	117	17	96	39	125	47	146
Tcf25	1767	2408	1612	2304	6717	3226	1934	2493	5409	3542	3712	3537
Tcf3	652	2462	969	1888	4733	3365	1156	2042	3657	4046	2429	3228
Tcf4	760	1354	660	2026	2000	1592	758	2196	1877	1873	1831	4028
Tcf7	312	751	232	620	1059	1014	218	599	797	1080	521	1004
Tcf7l1	477	2199	607	1313	2317	2809	585	1496	1549	3266	1452	2036
Tcf7l2	616	809	639	728	906	857	497	740	867	960	1104	1150
Tcfl5	220	443	256	328	992	578	334	322	863	667	538	586
Tchh	19	76	8	26	34	82	7	36	26	75	13	34
Tchhl1	0	1	0	1	0	3	0	1	0	3	0	2
Tchp	405	327	184	375	624	405	218	389	495	468	468	568
Tcirg1	90	283	81	183	377	328	92	199	264	404	198	296
Tcl1	252	163	355	186	576	211	371	252	486	222	775	337
Tcl1b1	0	0	0	0	0	0	0	0	0	0	0	0
Tcl1b2	0	6	0	1	1	3	1	0	0	3	1	2
Tcl1b3	0	0	0	0	1	0	0	1	1	0	2	1
Tcl1b4	1	2	4	1	3	4	1	1	3	0	7	1
Tcl1b5	0	0	0	0	0	0	0	1	0	0	0	0
Tcn2	104	256	63	407	147	298	90	417	111	356	175	578
Tcof1	1712	4893	3108	4406	13400	6991	3631	5318	11377	8033	8570	8144
Tcp1	3712	8504	3575	6537	19744	10832	4126	7401	15406	12606	7631	11674
Tcp10a	0	0	0	1	1	0	0	0	0	0	0	0
Tcp10b	0	2	0	1	0	4	2	1	1	5	1	2
Tcp10c	2	3	0	1	1	3	0	1	0	0	0	1
Tcp11	110	87	87	161	172	144	135	169	126	176	229	236
Tcp11l1	49	84	48	102	116	89	51	117	95	127	132	153
Tcp11l2	48	23	56	63	60	18	61	58	49	31	130	91
Tcp11x2	2	3	1	0	4	6	0	0	8	4	2	0
Tcstv1	0	0	0	0	0	0	0	0	0	2	0	0
Tcstv3	0	0	0	0	0	0	0	0	0	1	0	0
Tcta	51	56	25	68	62	69	33	80	45	80	57	132
Tcte1	0	0	0	1	10	2	1	2	11	4	2	3
Tcte2	45	25	60	25	90	18	46	29	87	19	85	14
Tcte3	0	0	0	0	0	0	0	0	0	0	0	0
Tctex1d1	0	0	0	0	0	0	0	0	0	1	0	0
Tctex1d2	63	81	48	59	183	125	38	90	141	136	97	133
Tctex1d4	11	11	5	4	14	9	4	4	9	7	11	8
Tctn1	132	210	129	247	303	287	138	271	207	317	269	389
Tctn2	145	404	147	413	567	546	168	432	413	591	343	637
Tctn3	106	185	101	248	280	228	96	257	208	270	203	421
Tdg	2	3	3	2	9	6	4	8	7	5	5	7
Tdgf1	4630	5193	6920	6937	25440	7136	8112	8250	19206	8284	15276	11571
Tdh	4580	4570	4716	7161	13802	6445	5664	7979	10077	6775	10024	12970
Tdo2	1	1	0	0	0	2	0	0	0	1	0	0
Tdp1	374	531	360	614	1689	702	368	749	1329	835	724	1079
Tdp2	978	987	812	1228	2638	1301	793	1183	1884	1518	1654	2031
Tdpoz1	0	0	0	0	0	0	0	0	0	0	0	0
Tdpoz2	0	0	0	0	0	1	0	0	0	1	0	0
Tdpoz3	0	0	0	0	0	2	0	0	1	2	0	0
Tdpoz4	0	2	0	0	0	0	0	0	0	1	0	0
Tdpoz5	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd1	24	91	32	97	116	82	37	110	112	94	116	162
Tdrd12	287	910	114	277	1173	1090	72	293	1033	1262	288	517
Tdrd3	353	792	471	1105	1069	980	432	1208	841	960	926	1809
Tdrd5	95	131	32	131	159	125	26	130	119	112	151	178
Tdrd6	1	39	3	22	9	32	6	14	13	31	14	27
Tdrd7	14	175	8	115	40	174	10	121	27	188	35	191
Tdrd9	6	2	7	2	19	5	2	1	11	5	15	6
Tdrkh	15	152	15	75	103	197	40	95	64	184	42	170
Tdrp	296	309	281	305	526	324	262	370	392	466	568	490
Tead1	2844	7080	3827	11048	9116	7574	3775	11345	7670	8613	7873	15571
Tead2	742	1763	558	1381	3381	2320	744	1504	2742	2781	1437	2695
Tead3	41	209	70	308	202	255	67	277	149	226	117	464
Tead4	246	445	190	230	558	472	206	278	405	532	437	315
Tec	19	139	5	133	66	132	10	116	39	158	26	174
Tecpr1	125	230	135	248	397	292	165	265	291	286	302	431
Tecpr2	340	670	320	642	1064	795	306	719	923	816	684	1022
Tecr	886	977	731	1060	3449	1345	937	1232	2952	1631	2038	2036
Tecrl	0	0	0	0	0	1	0	0	1	1	0	1
Tecta	0	6	0	2	2	7	2	2	2	10	1	7
Tectb	0	0	0	0	0	0	0	1	0	0	0	0
Teddm1a	1	3	3	2	3	6	2	7	2	3	6	6
Teddm1b	25	95	50	55	115	128	25	40	109	117	75	83
Teddm2	0	1	1	0	0	0	0	0	0	1	0	0
Teddm3	0	3	0	2	4	2	1	1	1	4	1	2
Tef	458	367	439	780	791	403	416	845	664	480	804	1170
Tefm	104	489	164	461	600	665	149	550	492	816	362	881
Tek	103	779	268	797	291	1002	172	847	218	1201	492	1254
Tekt1	22	39	5	2	110	38	9	10	91	39	23	10
Tekt2	8	22	6	13	28	17	9	14	25	22	9	19
Tekt3	0	0	0	0	0	0	0	0	1	1	0	0
Tekt4	0	0	0	0	0	2	0	1	0	5	1	4
Tekt5	5	1	7	1	4	3	3	0	12	3	8	4
Telo2	172	431	313	600	909	590	334	680	825	668	721	974
Ten1	52	126	23	47	204	139	57	52	140	181	94	75
Tenm1	0	21	23	35	16	34	23	33	12	31	58	58
Tenm2	0	5	0	1	0	4	0	2	0	6	1	8
Tenm3	746	1350	1623	2181	2705	1726	1697	2468	2538	1949	3646	4080
Tenm4	1053	1765	2048	2435	2737	2395	2227	2927	2368	2601	4297	3732
Tep1	478	424	499	390	1127	505	517	416	907	599	1091	751
Tepp	1	1	0	1	3	1	0	1	4	1	1	0
Terc	5	16	8	14	18	9	7	18	19	11	12	25
Terf1	1339	2627	1379	1534	4835	3021	1476	1578	3566	3384	3285	2604
Terf2	527	1009	673	1092	1814	1215	723	1137	1359	1457	1460	1804
Terf2ip	216	746	236	460	871	895	292	570	645	1011	509	851
Tert	244	494	274	553	676	594	311	523	609	626	606	827
Tes	50	611	28	116	361	632	24	99	286	726	39	190
Tesc	29	30	67	16	206	36	71	20	215	58	111	33
Tescl	4	0	4	5	2	4	1	8	7	5	3	11
Tesk1	114	393	95	384	317	496	136	381	261	540	227	583
Tesk2	121	794	177	1141	576	1095	160	1288	476	1249	419	1847
Tespa1	0	1	0	0	0	1	0	0	0	2	0	0
Tet1	13799	22303	22710	29388	41476	27367	21148	31799	36024	27832	46999	44232
Tet2	4352	3745	6830	2412	9878	4030	5663	2842	9151	4226	14736	3278
Tet3	399	1371	619	3491	921	1565	622	3443	999	1716	1181	5067
Tex10	1808	3825	1542	2924	7057	4413	1538	3072	5393	5155	3128	4663
Tex101	0	7	2	2	4	13	1	4	3	18	3	4
Tex11	26	71	12	4	155	77	16	5	132	79	28	16
Tex12	4	0	0	0	1	0	0	0	0	5	1	0
Tex13	67	14	32	15	267	11	49	7	238	9	144	6
Tex13a	0	0	0	0	0	0	0	0	0	0	0	0
Tex14	441	121	619	54	1056	120	629	61	852	171	1497	118
Tex15	210	321	197	123	709	287	106	117	509	309	283	160
Tex16	9	57	6	24	20	56	1	23	18	51	6	23
Tex19.1	61	988	92	175	673	1131	100	173	443	1397	263	366
Tex19.2	1	86	3	16	18	92	1	17	19	138	6	44
Tex2	317	1747	277	648	940	2105	271	792	775	2248	514	1199
Tex21	56	84	88	142	326	82	87	142	194	113	223	209
Tex22	0	1	5	3	1	1	0	1	3	1	3	3
Tex24	0	5	0	2	0	5	1	2	0	4	2	6
Tex26	2	11	3	8	2	16	1	14	6	14	10	25
Tex261	203	342	125	278	593	454	146	311	482	542	295	429
Tex264	177	505	135	391	467	770	161	479	336	778	341	701
Tex28	0	0	0	0	0	0	0	0	0	0	0	0
Tex29	0	0	1	1	0	0	1	0	1	2	1	0
Tex30	279	789	312	402	1662	863	284	375	1114	1007	643	662
Tex33	0	0	0	0	0	0	0	0	0	0	0	0
Tex35	1	9	1	2	4	8	1	1	3	7	4	1
Tex36	0	0	0	0	1	0	0	1	0	0	0	1
Tex37	0	0	0	0	0	0	0	0	0	0	1	0
Tex38	2	1	3	6	4	1	1	2	2	0	4	7
Tex40	16	25	1	4	59	33	9	7	50	37	9	7
Tex43	0	4	0	2	3	1	0	1	0	1	0	0
Tex9	442	723	514	741	1663	898	509	807	1354	1060	1335	1330
Tfam	635	1783	698	1602	3920	2123	689	1626	2937	2431	1582	2667
Tfap2a	31	20	30	9	84	20	39	8	58	41	65	13
Tfap2b	1	0	0	0	0	0	0	0	0	0	0	0
Tfap2c	564	1286	233	701	983	1618	241	831	834	2038	877	1097
Tfap2d	0	4	0	1	0	8	1	3	1	2	0	1
Tfap2e	2	36	1	43	10	42	1	44	16	51	5	68
Tfap4	378	696	487	758	1331	898	535	805	1096	1013	1267	1256
Tfb1m	215	238	130	144	590	297	174	177	516	343	353	309
Tfb2m	274	539	335	424	1306	675	328	407	971	702	740	628
Tfcp2	149	230	198	493	351	317	245	526	282	371	456	802
Tfcp2l1	18867	4545	15470	7475	28294	4996	15084	8661	25190	5559	33667	9966
Tfdp1	2025	3630	2024	2572	13341	4773	2219	2664	10416	5600	4857	4463
Tfdp2	1324	1813	1428	2782	3222	2400	1415	3015	2694	3008	3108	5151
Tfe3	889	2155	835	1616	3686	2733	880	1639	2766	2937	1852	2505
Tfeb	207	216	352	324	629	285	457	393	473	312	716	500
Tfec	2	0	2	0	15	0	0	1	14	0	0	0
Tff1	0	0	0	0	0	0	0	0	0	0	0	0
Tff2	0	0	0	0	0	0	0	1	0	1	0	0
Tff3	0	0	0	2	0	8	0	4	0	4	0	4
Tfg	554	1267	477	797	2541	1458	480	835	1798	1677	928	1245
Tfip11	429	1325	408	913	1874	1756	425	986	1432	1999	891	1554
Tfpi	243	496	240	336	957	588	253	359	694	719	659	554
Tfpi2	0	3	0	1	1	1	0	0	0	1	0	0
Tfpt	129	231	131	174	620	319	110	185	404	379	254	304
Tfr2	4	9	1	3	12	10	4	1	11	11	2	2
Tfrc	1403	7058	3248	3614	17048	9479	3114	4039	11316	10717	7127	6987
Tg	1	57	3	89	5	51	3	61	3	47	3	111
Tgds	278	458	274	412	838	596	256	470	631	646	478	689
Tgfa	26	63	9	17	30	58	8	18	29	62	10	23
Tgfb1	25	131	21	59	189	145	10	73	114	134	47	98
Tgfb1i1	10	116	3	262	28	112	5	235	37	136	19	363
Tgfb2	41	127	75	136	52	163	66	129	75	165	92	279
Tgfb3	6	42	4	26	10	39	2	27	8	43	6	54
Tgfbi	486	98	293	543	539	121	484	702	499	138	766	1186
Tgfbr1	583	1187	612	1171	1561	1275	570	1213	1387	1501	1167	1956
Tgfbr2	21	142	33	58	54	124	20	54	40	128	44	93
Tgfbr3	34	76	23	45	112	96	24	53	104	99	59	73
Tgfbr3l	6	4	8	7	13	5	13	7	15	1	13	11
Tgfbrap1	341	632	279	577	794	759	264	601	659	860	621	865
Tgif1	1536	2592	1861	1934	5317	3280	2011	2099	4229	3985	3792	3517
Tgif2	325	802	386	938	1278	1026	469	995	876	1153	755	1462
Tgif2lx1	0	0	0	0	0	0	0	0	0	0	0	0
Tgif2lx2	0	0	0	0	0	0	0	0	0	0	0	0
Tgm1	324	840	535	845	1329	1342	538	978	1074	1584	1175	1170
Tgm2	84	103	85	99	277	94	124	123	231	112	180	194
Tgm3	16	27	70	18	113	39	64	17	104	35	138	24
Tgm4	26	58	16	44	135	59	30	44	99	86	58	78
Tgm5	0	0	0	2	0	1	0	0	0	0	0	2
Tgm6	0	1	1	0	0	0	1	1	0	1	0	0
Tgm7	0	43	0	34	0	53	0	33	0	61	1	64
Tgoln1	345	718	281	517	1065	759	309	558	828	875	569	815
Tgoln2	0	0	0	0	0	0	0	0	0	0	0	0
Tgs1	892	1894	853	1489	3244	2117	759	1560	2540	2625	1704	2447
Tgtp1	1	1	8	1	16	2	6	3	3	2	11	2
Tgtp2	0	0	0	0	0	0	0	0	0	0	0	0
Th	1	10	0	1	3	8	0	3	8	13	1	3
Tha1	39	23	15	15	41	18	18	16	36	24	38	30
Thada	1081	3214	1222	2295	3790	3691	1119	2237	3297	3629	2506	3257
Thap1	106	262	101	215	579	345	101	233	423	439	221	376
Thap11	280	676	286	615	1485	947	304	585	1150	1066	578	968
Thap2	89	121	85	162	256	173	89	155	236	170	187	268
Thap3	62	100	49	182	206	135	65	189	145	178	137	294
Thap4	419	766	340	719	1299	1006	404	793	1023	1196	796	1272
Thap6	192	193	186	174	669	203	215	208	463	208	335	290
Thap7	70	159	68	126	233	274	55	129	189	264	146	207
Thbd	2	54	1	19	11	44	0	9	10	63	1	26
Thbs1	33	2185	12	425	160	1927	13	525	205	2532	22	704
Thbs2	2	76	1	67	15	134	5	93	15	140	11	108
Thbs3	92	457	113	532	552	652	130	594	472	749	268	930
Thbs4	3	27	4	27	18	35	6	25	26	49	17	32
Theg	0	1	0	1	0	2	1	0	0	1	0	1
Thegl	0	4	0	3	1	7	0	0	0	6	0	1
Them4	12	94	21	33	112	112	19	26	64	116	33	69
Them5	1	16	0	0	10	27	0	0	5	33	0	0
Them6	91	103	47	125	260	148	52	167	244	154	130	247
Them7	0	2	1	1	2	3	2	2	3	2	1	3
Themis	2	71	4	13	23	73	5	8	18	65	14	21
Themis2	2	26	1	37	40	68	7	30	21	42	2	53
Themis3	1	3	0	0	0	2	0	0	0	2	0	0
Thg1l	219	745	228	573	1360	1023	275	652	1027	1141	506	894
Thnsl1	121	379	149	392	547	481	163	490	408	545	313	830
Thnsl2	10	85	9	24	88	117	8	19	53	129	23	53
Thoc1	695	1772	685	1623	3397	2157	695	1805	2405	2449	1498	2596
Thoc2	1858	3445	2260	3761	7156	4307	2260	3984	5884	4756	5323	6523
Thoc3	806	1364	667	1080	3603	1667	722	1103	2799	2071	1693	1813
Thoc5	717	762	605	741	3041	1138	697	836	2472	1235	1264	1243
Thoc6	177	450	202	457	989	650	258	446	804	686	495	687
Thoc7	279	739	292	589	1432	830	342	594	1077	1021	608	990
Thop1	604	1967	573	1345	4680	2992	736	1625	3819	3336	1544	2460
Thpo	51	26	77	49	133	39	98	54	99	39	162	74
Thra	33	221	50	248	124	335	65	304	102	347	158	466
Thrap3	6078	7198	5571	6675	16335	8641	5750	7090	15564	10404	13183	11118
Thrb	4	17	3	4	8	8	1	2	5	10	4	8
Thrsp	3	6	0	7	5	8	1	3	2	17	0	3
Thsd1	9	207	7	160	124	297	11	153	76	332	27	260
Thsd4	5	270	15	61	15	186	7	78	17	288	25	113
Thsd7a	6	82	0	27	11	75	2	26	13	78	5	45
Thsd7b	5	9	7	6	12	12	8	5	5	17	8	9
Thtpa	81	170	175	259	470	220	194	305	357	271	384	492
Thumpd1	1588	3013	1120	2828	4078	3706	1266	3019	3256	4482	2446	4749
Thumpd2	124	228	143	289	364	289	170	302	267	304	327	381
Thumpd3	556	1161	535	795	2047	1385	536	862	1501	1564	1129	1369
Thy1	17	81	9	27	82	106	5	20	56	111	8	46
Thyn1	92	256	96	276	634	379	93	246	463	477	190	380
Tia1	902	922	846	1296	2378	1110	917	1354	1998	1348	2073	2367
Tial1	1171	2168	1284	2413	4287	2631	1262	2392	3226	2954	2918	3589
Tiam1	1064	1614	1199	2332	2482	1852	1225	2654	2181	2196	2823	4030
Tiam2	103	129	74	85	220	163	75	87	188	190	147	159
Ticam1	16	99	32	145	129	110	32	202	99	128	75	332
Ticam2	10	120	6	120	36	146	10	130	26	158	14	167
Ticrr	2180	4080	2644	3281	4823	4735	2379	3600	4022	5436	5633	5103
Tie1	4	23	2	13	9	40	8	15	8	50	13	30
Tifa	1	0	0	2	0	0	0	0	1	4	0	1
Tifab	0	54	4	5	11	70	1	5	12	82	6	15
Tigar	414	1249	390	739	2158	1599	403	729	1652	1935	832	1143
Tigd2	73	280	75	244	200	285	80	297	166	328	182	435
Tigd3	31	42	34	88	116	69	27	108	96	67	84	163
Tigd4	0	1	0	0	1	0	0	0	0	1	0	0
Tigd5	26	59	45	126	123	75	57	145	86	94	91	214
Tigit	2	8	1	2	4	6	2	3	3	10	4	10
Timd2	1	0	0	0	2	0	0	0	1	1	0	0
Timd4	0	1	0	0	0	2	0	0	0	2	0	0
Timeless	1625	1374	1350	1384	5367	1808	1670	1740	4263	2223	3761	2786
Timm10	135	316	103	268	600	439	98	291	461	498	241	425
Timm10b	77	286	100	268	426	374	95	265	305	429	218	439
Timm13	236	614	203	539	1489	953	287	623	1144	1220	485	1008
Timm17a	479	1767	468	1106	3291	2279	543	1166	2411	2743	1046	1935
Timm17b	116	366	120	339	630	481	171	356	544	613	381	568
Timm21	213	403	249	485	967	507	251	471	715	537	481	752
Timm22	131	337	127	256	791	360	150	256	597	500	307	403
Timm23	993	2906	841	1967	6081	3738	923	2152	4794	4294	1795	3243
Timm44	846	889	518	815	2945	1205	609	955	2117	1376	1173	1547
Timm50	319	1003	299	877	1683	1451	356	955	968	1593	701	1488
Timm8a1	327	1349	354	1033	2988	1837	404	1213	2138	2285	873	1855
Timm8a2	2	7	0	0	3	11	0	1	2	11	6	1
Timm8b	125	326	111	369	717	483	151	381	570	537	285	607
Timm9	124	465	131	361	761	556	122	334	542	635	298	542
Timmdc1	204	291	154	300	581	403	188	313	491	450	374	514
Timp1	89	252	110	170	326	365	84	194	237	461	215	315
Timp2	25	304	23	221	63	300	28	219	62	385	42	376
Timp3	40	304	46	118	167	323	23	116	143	380	83	142
Timp4	3	20	0	3	4	20	1	1	7	29	2	8
Tinag	0	0	0	0	0	0	0	0	0	0	0	0
Tinagl1	22	161	12	22	45	146	4	23	41	170	15	31
Tinf2	348	558	459	689	1308	759	498	808	1004	836	961	1173
Tiparp	508	1550	662	2278	1734	1638	698	2154	1178	1931	1306	3601
Tipin	690	1976	662	1308	5106	2552	726	1354	3900	3096	1518	2410
Tiprl	561	933	410	620	2540	1112	437	659	1706	1254	922	1063
Tirap	108	359	134	319	538	430	137	319	351	502	241	529
Tjap1	534	1428	414	1341	1298	1913	498	1433	1039	2127	1042	2049
Tjp1	2254	6024	2304	4324	7931	7173	2185	4417	6583	7243	4657	6692
Tjp2	2054	4800	2126	5115	9172	6065	2149	5806	6733	6739	5409	8295
Tjp3	100	114	42	127	110	181	48	146	79	180	97	150
Tk1	311	1912	227	914	1620	2600	294	1031	1415	3181	552	1804
Tk2	265	159	200	231	525	202	262	269	347	222	440	381
Tkfc	152	241	108	223	453	353	156	270	383	417	295	441
Tkt	2432	4613	2358	3554	11879	6414	2960	4014	9856	7198	5904	6231
Tktl1	1	7	4	2	8	7	5	0	3	7	11	3
Tktl2	0	108	1	1	4	125	2	3	6	127	1	4
Tlcd1	77	260	70	195	425	369	68	232	337	416	156	318
Tlcd2	23	58	14	42	59	119	11	44	62	105	38	89
Tldc1	114	132	121	170	321	167	141	176	214	163	280	264
Tldc2	0	2	1	2	3	1	0	2	3	4	3	2
Tle1	221	1347	214	1315	988	1494	252	1405	828	1667	464	2011
Tle2	17	100	7	86	50	125	9	101	40	126	12	146
Tle3	3312	2984	1814	3823	4078	3525	1801	4052	3727	4460	3900	5749
Tle4	967	3639	1750	1984	6876	4494	1684	2120	4997	4936	3328	3152
Tle6	24	145	8	73	116	212	10	106	102	241	31	147
Tlk1	1763	3019	1371	2792	5043	3514	1281	3055	3922	3822	2832	4403
Tlk2	1515	4040	1193	2549	4238	4584	1296	2530	3706	5310	2537	4279
Tll1	74	48	82	19	53	70	88	16	35	64	96	20
Tll2	0	0	0	1	2	3	0	0	2	0	1	2
Tln1	1590	4546	2290	4031	5921	6105	2626	4837	4963	6391	5069	6204
Tln2	806	1306	853	1252	2663	1798	841	1354	2378	1908	1913	2100
Tlr1	0	4	0	0	1	0	0	0	1	1	0	0
Tlr11	0	0	0	0	0	0	0	0	1	1	0	0
Tlr12	1	0	0	1	1	0	0	0	0	1	1	0
Tlr13	0	1	0	0	0	2	0	2	0	1	0	0
Tlr2	20	170	10	122	71	203	18	138	48	213	20	170
Tlr3	4	31	7	11	26	46	6	5	8	56	7	11
Tlr4	0	24	0	2	0	11	0	2	0	13	0	4
Tlr5	4	9	18	6	32	7	10	5	29	13	27	6
Tlr6	1	0	0	0	0	0	0	0	1	1	0	2
Tlr7	0	3	1	2	3	3	0	1	2	4	0	1
Tlr8	0	0	0	0	0	0	0	0	0	0	0	0
Tlr9	3	3	1	2	3	2	0	3	2	0	0	4
Tlx1	2	8	1	3	8	6	1	1	3	6	8	5
Tlx2	1	2	2	1	20	3	2	2	16	3	1	2
Tlx3	6	14	6	48	10	41	10	72	12	39	10	90
Tm2d1	93	272	96	230	213	276	76	201	191	347	175	339
Tm2d2	110	342	96	397	405	435	121	453	290	518	228	694
Tm2d3	119	246	124	297	376	358	138	310	280	437	248	420
Tm4sf1	0	7	0	3	0	8	0	3	0	26	0	2
Tm4sf19	2	3	3	2	0	7	2	1	1	0	2	4
Tm4sf20	13	9	16	9	10	8	5	4	13	1	13	5
